topic_import_id,subcategory,event,question,answer_type,answer_options,start_date,expiration_date,resolution_date,priority
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 1. S. Scheffler and 2. Cam. Young?,multiple_choice,1. S. Scheffler||2. Cam. Young,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 3. M. Fitzpatrick and 5. S.W. Kim?,multiple_choice,3. M. Fitzpatrick||5. S.W. Kim,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 6. L. Åberg and 7. C. Gotterup?,multiple_choice,6. L. Åberg||7. C. Gotterup,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 8. J. Bridgeman and 9. R. McIlroy?,multiple_choice,8. J. Bridgeman||9. R. McIlroy,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 10. A. Bhatia and 11. R. Henley?,multiple_choice,10. A. Bhatia||11. R. Henley,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 12. X. Schauffele and 13. A. Smalley?,multiple_choice,12. X. Schauffele||13. A. Smalley,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 14. M. Lee and 15. T. Fleetwood?,multiple_choice,14. M. Lee||15. T. Fleetwood,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 16. K. Reitan and 17. J. Rose?,multiple_choice,16. K. Reitan||17. J. Rose,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 18. N. Højgaard and 19. S. Straka?,multiple_choice,18. N. Højgaard||19. S. Straka,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
pga-the-memorial-tournament-presented-by-workday-2026,GOLF,the Memorial Tournament presented by Workday 2026,Who will be ranked higher after 36 holes at the Memorial Tournament presented by Workday 2026 between 20. J.J. Spaun and 21. R. Fowler?,multiple_choice,20. J.J. Spaun||21. R. Fowler,2026-06-03T00:00:00,2026-06-04T00:00:00,2026-06-04T04:00:00,1
